aan de linkerkant	on the left side
zich legitimeren	to identify oneself
zich richten	to focus
zich schamen	to be ashamed
zielig	pathetic
zij	they
zo snel mogelijk	as soon as possible
zoals	as
zo'n	such a
zout	salty
zowel ... als ...	both ... and ...
zulk	such (3)
zwaaien	to wave
zwak	weak
